Run,TSX_Files,TSX_Lines
baseline-t1-r1,13,1173
baseline-t1-r2,14,1167
baseline-t2-r1,17,1212
baseline-t2-r2,8,1090
combined-t1-r1,14,983
combined-t1-r2,14,1345
combined-t2-r1,14,1757
combined-t2-r2,13,1255
design-doc-t1-r1,9,864
design-doc-t1-r2,15,1223
design-doc-t2-r1,8,1192
design-doc-t2-r2,10,1171
taste-t1-r1,14,1688
taste-t1-r2,8,1148
taste-t2-r1,12,979
taste-t2-r2,11,1531
uiux-t1-r1,10,1504
uiux-t1-r2,14,949
uiux-t2-r1,9,980
uiux-t2-r2,10,1330
