Run,TSX_Files,TSX_Lines
interfaces-t1-r1,12,728
interfaces-t1-r2,9,720
interfaces-t2-r1,8,632
interfaces-t2-r2,8,898
modern-web-t1-r1,10,510
modern-web-t1-r2,11,749
modern-web-t2-r1,7,617
modern-web-t2-r2,8,622
